merchantid,refundmonths,count
163958,1,9
145951,8,1
171718,2,3
15182,12,1
197222,1,1
128292,1,1
27754,4,1
75193,3,1
145072,3,1
184823,1,1
202867,0,1
106932,12,1
109599,12,76
109156,11,8
161028,5,2
157641,3,1
9878,1,2
1712,0,2
170716,4,1
131344,2,1
99180,7,1
110732,13,1
38908,9,1
33977,2,8
161052,5,1
57534,12,1
106036,7,3
127622,7,1
112577,5,1
94835,3,1
125546,3,1
166374,4,1
94568,0,1
151399,2,1
54522,12,1
160653,2,88
194629,1,2
154152,4,1
146218,2,1
74612,1,11
108083,11,1
123378,10,1
95143,5,5
11093,2,1
129185,1,1
166493,5,1
202936,1,1
109740,2,2
25085,13,1
107334,12,1
38009,0,1
150858,5,1
153235,6,1
24264,1,1
70210,13,4
119933,8,1
47548,6,1
94860,5,5
103254,7,2
63507,7,1
144374,8,1
185911,2,1
10517,6,1
143755,7,1
79259,11,1
179526,0,1
140318,6,1
163555,3,1
195719,2,1
155398,2,1
165877,4,1
41429,1,1
42094,1,1
73429,12,1
94860,3,1
193150,2,1
173935,1,2
57665,0,2
85612,7,3
194560,1,1
99822,1,2
64191,1,5
132531,7,1
22732,1,1
106586,3,1
64305,9,1
6882,7,1
152864,1,1
105189,12,1
73846,11,1
141340,7,1
155347,1,1
101969,12,6
145937,8,1
158869,3,1
73736,8,1
164378,2,1
133961,7,1
119538,12,1
85282,8,1
170080,4,1
63526,0,1
127620,6,1
124609,9,1
128300,1,1
150142,5,1
78027,9,1
151374,6,1
205207,1,1
74911,2,1
40624,2,1
104688,10,27
108371,2,1
117689,10,2
190872,0,5
176322,4,1
101577,12,1
86296,11,1
125768,6,1
186106,1,1
130502,1,3
81567,0,1
115638,12,2
98814,6,2
177712,3,1
119829,5,1
11831,0,2
151026,6,1
69138,4,1
192137,2,1
31013,10,1
122016,3,4
96726,2,2
56303,6,2
106599,5,1
177427,1,1
204629,0,1
158594,3,1
174431,2,3
110934,12,1
129024,5,1
107893,6,1
5588,8,1
115166,12,1
163184,4,1
69883,12,1
154589,4,1
191834,1,1
108281,3,1
9365,11,1
102571,6,29
94835,4,1
1728,8,1
105926,3,1
5588,9,2
5603,13,6
170665,3,1
1712,1,4
109245,6,1
177865,2,2
95618,1,1
203555,1,3
1712,2,1
84394,13,1
80171,7,2
154134,5,1
105018,6,1
196276,1,1
78712,0,1
15874,11,1
126153,10,3
128623,4,1
86165,8,1
94835,6,2
80211,10,1
74911,3,1
181701,2,1
66130,12,9
137645,8,6
135596,4,2
97781,1,1
124188,5,1
108281,5,1
123005,1,1
161268,4,1
74911,4,1
157563,5,1
6406,13,1
121703,4,1
165155,1,1
41043,12,1
168811,3,1
77226,3,1
109899,1,1
182050,2,1
12409,13,1
43400,12,1
183617,2,6
192458,1,5
113902,3,1
132520,0,1
67293,5,3
163903,5,1
102571,5,1
164593,4,1
104710,10,6
105392,11,1
170568,3,1
135596,3,1
84840,13,1
150876,1,1
31836,0,1
143777,0,1
207141,0,1
108500,11,1
101254,1,1
203403,1,1
154648,5,1
101587,1,1
87373,12,1
121187,11,36
148246,2,1
137044,7,1
201690,1,1
120260,9,1
106337,9,2
124312,10,1
144552,8,1
9933,2,1
186438,1,1
85046,1,2
4634,5,1
7531,1,1
109163,13,1
143535,7,1
75773,13,1
1728,7,1
145019,1,2
136885,4,1
135596,6,1
208014,1,1
1317,1,1
78276,12,1
151886,2,1
101689,2,1
151367,1,1
26457,2,1
117125,11,53
177009,1,6
109156,12,21
9790,1,2
143463,3,2
170212,0,2
128300,2,1
108385,12,1
31836,1,2
146390,5,1
40624,1,3
60052,5,1
73978,1,1
33977,7,1
145324,4,1
109466,6,1
93581,2,1
76771,2,1
143156,3,1
51927,10,1
44933,9,1
157791,2,1
104688,11,19
96726,7,5
83843,11,1
102994,6,3
102585,11,2
63701,13,1
74612,0,7
105129,10,1
65068,12,1
178139,3,2
137779,3,1
84430,8,1
95808,0,1
129362,3,1
51927,11,1
85612,6,1
104784,11,1
146387,7,2
161156,4,8
143446,1,5
104784,13,6
78077,9,1
40118,9,1
102571,7,14
94860,4,3
139888,1,1
112915,13,1
149547,1,1
138113,7,1
165013,3,1
109603,11,1
80808,12,1
79259,10,1
199351,1,1
67329,1,1
121418,10,1
70718,13,1
167368,1,1
91537,11,1
62105,8,1
112577,4,1
114467,12,48
136729,8,1
33977,8,20
98814,7,10
122296,11,1
117190,8,1
92199,3,3
102219,11,3
103127,1,3
171679,4,1
181356,2,2
104302,1,1
98665,13,1
100169,11,1
110226,6,1
151961,1,1
77203,10,4
71557,9,2
135596,5,6
23855,0,2
121899,11,1
150142,4,1
9451,3,1
61831,10,1
134811,6,1
175743,1,1
135599,3,8
83843,12,1
112253,11,1
9933,1,1
127381,10,1
32172,4,1
112496,13,1
202516,0,1
200030,1,1
164502,0,1
112646,1,1
200691,1,1
71100,1,1
178730,0,1
118041,6,1
33977,4,4
30115,0,1
64427,2,6
203555,0,1
91123,0,1
117243,5,7
93695,1,1
71448,12,1
106728,8,1
57025,13,2
110570,8,1
131332,5,1
166081,1,1
73456,5,1
185335,1,1
117288,10,1
114796,0,1
80973,3,1
42356,2,1
119390,4,17
104784,12,5
112510,10,1
64191,2,3
169256,4,9
123805,2,1
84571,1,1
88061,9,1
87518,0,1
145679,8,1
87820,4,1
60876,2,1
186431,2,1
73831,0,2
85615,9,2
148246,4,1
112884,12,1
130241,1,1
49292,9,1
109156,7,1
104308,13,2
106514,13,1
157265,2,1
78077,10,1
170392,3,1
193315,2,1
179420,3,2
32782,11,1
173624,1,1
111609,10,1
204544,1,1
197354,1,1
73846,12,1
113912,9,4
57351,1,1
155348,0,2
165482,4,1
145520,0,4
108253,1,1
202442,1,2
140292,7,2
27754,9,1
106036,6,1
88254,3,1
183612,1,1
27812,10,1
1848,12,1
71352,1,1
135885,8,1
124513,3,1
196451,2,1
190684,1,1
109900,13,1
56005,6,1
186559,2,1
102748,1,1
8811,2,1
132920,5,1
91221,2,1
145060,6,12
159553,3,4
127596,8,9
156056,6,2
73456,4,2
167388,4,1
176073,1,1
84640,0,1
177224,2,1
190326,1,1
112233,13,1
109340,13,1
56989,2,1
98864,12,19
132603,6,1
109740,1,3
80660,8,1
97825,12,1
201180,1,1
152980,5,3
76635,5,1
71861,11,2
94835,5,7
23931,3,1
42432,13,1
13551,3,1
170071,3,1
34057,8,2
181839,2,1
119876,12,1
34560,8,1
5373,7,1
127596,7,1
74926,1,4
27862,9,1
76314,8,1
135611,6,1
78820,0,6
157565,6,1
151886,3,1
155347,0,1
158151,4,1
96705,5,1
80944,8,1
60918,13,1
19209,6,1
203949,1,1
9365,10,1
